subject,subcategory,question,a,b,c,d,answer,long_explanation,short_explanation
Phys,4A: Force,"A 50 kg woman stands on a scale in an elevator accelerating downwards at a rate of 5 m/s^2. What is her apparent weight, as measured by the scale? (Assume the acceleration due to gravity is equal to 10 m/s^2.)",25 N,250 N,500 N,750 N,B,"*The apparent mass, as measured by the scale, would be 250 N. 
*The scale measures the normal force experienced by the object it weighs. 
*The man's acceleration will be equal the acceleration of the elevator (otherwise, he would be floating or flying through the floor).
![](/Figures/*.jpg)
*The normal force decreases as the elevator's downward acceleration offsets a portion of the gravitational force. ","*The scale measures the normal force experienced by the man who now experiences a net acceleration downwards:
F_{net} = ma = F_n - F_g
F_n = ma + F_g
F_n = 50(-5) + 50(10) = 250 N"
Phys,4A: Translational Motion,Myelinated axons can achieve nerve conduction velocities of up to 120 m/s. What is the minimum length of time required for a signal to travel one meter down an axon?,8.3 milliseconds,10 milliseconds,120 milliseconds,8 seconds,A,"*A minimum of about 8.3 milliseconds would be necessary for an action potential to travel one meter. 
*The average velocity is related to the distance traveled and travel time by the following:
v = d/t
*Rearranging and substituting, we see that
t = d/v = 1/120 = .0083 s","*Average velocity is given by:
v = d/t
*Rearrange and substitute:
t = dv = 1120 = .0083 s or 8.3 milliseconds"
Phys,4A: Translational Motion,A ball is released from rest and allowed to fall freely. What vertical distance does the ball travel over the course of 5 seconds? (Note: The acceleration due to gravity is 9.8 m/s^2.),24.5 meters,49 meters,122.5 meters,245 meters,C,"*The box is released from rest and travels for five seconds. 
*Since the box is in free fall and falling for a short period of time, air resistance can be neglected. 
*A kinematic equation can be used to solve this problem:
d = v_ot + (1/2)at^2
*Plug in known values and solve (the acceleration is -9.8 m/s^2, which we can approximate to -10 m/s^2):
d = v_ot + (1/2)at^2 = (0)(5) + (1/2)(-10)(5)^2 = -125 m
*This is close to the unapproximated falling distance of 122.5 m, the correct answer.","*Box is released from rest and feels only the force of gravity.
*Approximate gravitational acceleration to be -10 m/s^2.
d = v_ot + (1/2)at^2 = (0)(5) + (1/2)(-10)(5)^2 = -125 m
*The box falls 122.5 meters in five seconds."
Phys,4A: Force,"What is the approximate magnitude of the gravitational force a 70 kg man exerts on the earth if he is standing at the surface of the earth? (Note: The mass of the earth is 6.0*10^24 kg, the radius of the earth is 6.4*10^3 km, the gravitational constant G is equal to 6.68*10^-11 N(m/kg)^2, and the acceleration due to gravity is 9.8 m/s^2.)",9.8 N,685 N,900 N,4.4*10^9 N,B,"*The magnitude of gravitational force the man exerts on the earth will be equal to force the earth exerts on the man, about 700 N (his mass multiplied by the acceleration due to gravity g). 
*Because of Newton's Third Law, we know that these forces must be equal in magnitude. 
* Though it is possible to calculate the value of the force using the law of universal gravitation (F_g = GM_1M_2/r^2) and the values given, it is much easier to use Newton's third law to solve this problem.","*The magnitude of gravitational force the man exerts on the earth will be equal to force the earth exerts on the man (Newton's Third Law): 70 kg*9.8 m/s^2 = ~685 N
*The law of universal gravitation could also be used in a more time consuming method."
Phys,4A: Work,Which of the following is NOT an example of a conservative force?,Gravitational force,Frictional force,Spring forces,Electrostatic forces,B,"*Frictional forces are nonconservative forces and are path dependent. 
*Forces with associated potential energies (spring, electrostatic, and gravitational potential energies, for example) are conservative forces and path independent.","*Frictional forces are nonconservative forces and are path dependent. 
*Forces with associated potential energies are conservative forces and path independent."
Phys,4A: Work,Which of the following is an example of a conservative force?,Force of air resistance,Frictional force,Spring forces,Tension,C,"*Spring forces are conservative. 
*Conservative forces are easily identified by an associated potential energy (spring potential energy). 
*The other forces listed are path dependent and therefore nonconservative.",*Sping forces are conservative (easily identified by the associated elastic potential energy).
Phys,4A: Energy of Point Object Systems,"A runner with mass 70 kg moves with a kinetic energy of 850 J. If he doubles his kinetic energy, by what factor will his velocity increase?", 1/2,2^(1/2),2,4,B,"*The kinetic energy and velocity are related by the following:
K = (1/2)mv^2
*Solving for velocity, we find:
v = (2K/m)^(1/2)
*If the funner doubles his kinetic energy, he will increase his velocity by a factor of 1/2.","*The kinetic energy equation can be used and solved for velocity:
K = (1/2)mv^2
v = (2K/m)^(1/2)
*If the funner doubles his kinetic energy, he will increase his velocity by a factor of 1/2."
Phys,4A: Energy of Point Object Systems,"A 16 kg object is attached to a massless spring with a spring constant of 100 N/m. If the spring is compressed 2 meters, what is the highest velocity achieved by the object when it is released? ",2 m/s,5 m/s,12.5 m/s,25 m/s,B,"*After compression, the initial potential energy stored in the spring is equal to U_s = (1/2)kx^2 where k is the spring constant and x  is the displacement from equilibrium. 
*Substituting, we see:
U_s = (1/2)kx^2 =(1/2)(100)(2)^2 = 200 J
*The maximum velocity will be achieved when the object travels through the equilibrium position and all of the potential energy has been converted to kinetic energy:
K = 200 J = (1/2)mv^2 = (1/2)(16)v^2
*Rearranging, we see that v^2 = 25 and that v = 5 m/s.","*Initial potential energy stored in the spring:
U_s = (1/2)kx^2 =(1/2)(100)(2)^2 = 200 J
*Maximum velocity occurs when all of this potential energy is converted to kinetic:
K = 200 J = (1/2)mv^2 = (1/2)(16)v^2
*Rearranging, v = 5 m/s."
Phys,E & M,Inserting a dielectric into a capacitor when the capacitor is connected to a battery causes which of the following?,The charge stored on the capacitor increases while the potential difference across the capacitor remains constant.,The charge stored on the capacitor decreases while the potential difference across the capacitor remains constant.,The charge stored on the capacitor remains constant while the potential difference across the capacitor increases.,The charge stored on the capacitor remains constant while the potential difference across the capacitor decreases.,A,"*The capacitance is a measure of a capaitor's ability to store charge and is given by the following:
C = /Kappa/Epsilon_oA/d
where /Kappa is the dielectric constant, /Epsilon_o is the permittivity of free space, A is the surface area of the plates, and d is the distance between the plates. 
*Adding a dielectric increases the capacitance. 
*The capacitance can be related to the potential difference V and the charge Q by the following:
C = Q/V
A capacitor connected to a battery is held at a constant V so an increase in capacitance causes an increase in charge.","*The capacitance is given by the following:
C = /Kappa/Epsilon_oA/d
*Adding a dielectric increases the capacitance. 
*The following is true for a charged capacitor:
C = Q/V
*A capacitor connected to a battery is held at a constant voltage so an increase in capacitance causes an increase in charge."
Phys,E & M,"Inserting a dielectric into an isolated capacitor, that is, one that is not connected to a battery, causes which of the following?",The charge stored on the capacitor increases while the potential difference across the capacitor remains constant.,The charge stored on the capacitor decreases while the potential difference across the capacitor remains constant.,The charge stored on the capacitor remains constant while the potential difference across the capacitor increases.,The charge stored on the capacitor remains constant while the potential difference across the capacitor decreases.,D,"*The capacitance is a measure of a capaitor's ability to store charge and is given by the following:
C = /Kappa/Epsilon_oA/d
where /Kappa is the dielectric constant, /Epsilon_o is the permittivity of free space, A is the surface area of the plates, and d is the distance between the plates. 
*Adding a dielectric increases the capacitance. 
*The capacitance can be related to the potential difference V and the charge Q by the following:
C = Q/V
*An isolated capacitor is held at a constant charge (there's nowhere for the charge to go) so an increase in capacitance causes a decrease in potential difference.","*The capacitance is given by the following:
C = /Kappa/Epsilon_oA/d
*Adding a dielectric increases the capacitance. 
*The following is true for a charged capacitor:
C = Q/V
*An isolated capacitor is held at a constant charge so an increase in capacitance causes a decrease in potential difference."
Phys,E & M,Which of the following would not be expected to increase the capacitance of a parallel plate capacitor?,Inserting a dielectric.,Increasing the surface area of the plates.,Increasing the distance between the plates.,Connecting the capacitor to a battery.,C,"*The capacitance is a measure of a capaitor's ability to store charge and is given by the following:
C = /Kappa/Epsilon_oA/d
where /Kappa is the dielectric constant, /Epsilon_o is the permittivity of free space, A is the surface area of the plates, and d is the distance between the plates. 
*Increasing the distance between the plates would decrease the overall capacitance. 
*The other answer choics listed would increase the capacitance.","*The capacitance is given by the following:
C = /Kappa/Epsilon_oA/d
*Increasing the distance between the plates would decrease the overall capacitance. 
*The other answer choics listed would increase the capacitance, increasing the amount of charge that can be stably stored."
Phys,E & M,Which of the following would be expected to increase the capacitance of a parallel plate capacitor?,Decreasing the surface area of the plates.,Inserting a dielectric.,Increasing the distance between the plates.,Connecting the capacitor to a battery.,B,"*The capacitance is a measure of a capaitor's ability to store charge and is given by the following:
C = /Kappa/Epsilon_oA/d
where /Kappa is the dielectric constant, /Epsilon_o is the permittivity of free space, A is the surface area of the plates, and d is the distance between the plates. 
*Adding a dielectric increases the value of /Kappa, increasing the capacitance. 
*The other listed answer choices would decrease capacitance, decreasing the amount of charge that can be stably stored.","*The capacitance is given by the following:
C = /Kappa/Epsilon_oA/d
*Adding a dielectric increases the value of /Kappa, increasing the capacitance. 
*The other listed answer choices would decrease capacitance, decreasing the amount of charge that can be stably stored."
Phys,4A: Periodic Motion,Interpreting light and sound are two of the primary ways we sense the world. What types of waves are light and sound?,They are both transverse waves.,Light is a tranverse wave while sound is longitudinal.,Light is a longitudinal wave while sound is transverse.,They are both longitudinal waves.,B,"*Light waves are transverse while sound waves are longitudinal. 
*Transverse waves are waves whose medium oscillates perpindicular to the propagation of a wave (like a vibrating string). 
*Longitudinal waves are waves whose medium oscillates parallel to the propagation of a wave (like a disturbed slinky).",*Light waves are transverse while sound waves are longitudinal. 
Phys,4A: Periodic Motion,"Sound has varying speeds in its different mediums. Which of the following is a medium of sound?
   I. Solids
   II. Liquids
   III. Gases",III only.,I and III only.,II and III only.,"I, II, and III.",D,"*Sound requires a matter medium, but it can travel through solids, liquids, and gases. 
*It travels fastest in solids, followed by liquids, followed by gases.","*Sound travels through solids, liquids, and gases."
Phys,4A: Periodic Motion,Which of the following is not true of sound?,The frequency of sound corresponds to its pitch.,The decibel scale quantifies sound intensity.,Sound waves are longitudinal.,Sound travels faster in gases than in solids.,D,"*Sound travels fastest in solids, followed by liquids, followed by gases. 
*Sound is longitudinal in that its medium oscillates parallel to the direction of propagation. 
*The frequency of sound corresponds to its pitch (how ""high"" or ""low"" something sounds). 
*The decibel scale compares the intensity of sound to a reference value and is usually associated with volume or ""loudness.""","*Sound travels fastest in solids, followed by liquids, followed by gases."
Phys,4A: Periodic Motion,"Named in honor of Alexander Graham Bell, the decibel scale is commonly used to quantify the intensity of sound waves. The scale compares a measured value of sound intensity to a reference value using the following equation: 
/Beta = 10log(I/I_o). 
The intensity I is the measured intensity and the reference intensity I_o is equal to 10^{-12} W/m^2. Using this scale, sound with intensity of 10^{-7} W/m^2 would have a decibel rating of:",5 decibels.,7 decibels.,50 decibels.,70 decibels.,C,"*Using the values and equation given, a sound of intensity 10^{-7) W/m^2 would have a decibel rating of 50:
/Beta = 10log(I/I_o) 
/Beta = 10log(10^{-7}/10^{-12})
/Beta = 10log(10^5)
/Beta = 50 decibels","*Use the equation and values given:
/Beta = 10log(I/I_o) 
/Beta = 10log(10^{-7}/10^{-12})
/Beta = 10log(10^5)
/Beta = 50 decibels"
Phys,4A: Periodic Motion,"Named in honor of Alexander Graham Bell, the decibel scale is commonly used to quantify the intensity of sound waves. The scale compares a measured value of sound intensity to a reference value using the following equation: 
/Beta = 10log(I/I_o). 
The intensity I is the measured intensity and the reference intensity I_o is equal to 10^{-12} W/m^2. Using this scale, sound with intensity of 1 W/m^2 would have a decibel rating of:",0 decibels.,12 decibels.,100 decibels.,120 decibels.,D,"*Using the values and equation given, a sound of intensity 1 W/m^2 (or 10^0 W/m^2) would have a decibel rating of 120:
/Beta = 10log(I/I_o) 
/Beta = 10log(10^{0}/10^{-12})
/Beta = 10log(10^12)
/Beta = 120 decibels","*Use the equation and values given:
/Beta = 10log(I/I_o) 
/Beta = 10log(10^{0}/10^{-12})
/Beta = 10log(10^12)
/Beta = 120 decibels"
Phys,4A: Periodic Motion,"Named in honor of Alexander Graham Bell, the decibel scale is commonly used to quantify the intensity of sound waves. The scale compares a measured value of sound intensity to a reference value using the following equation: 
/Beta = 10log(I/I_o). 
The intensity I is the measured intensity and the reference intensity I_o is equal to 10^{-12} W/m^2. If a speaker's decibel rating is increased from 50 to 80 decibels, the intensity of the sound increased by a factor of:",3,30,100,1000,D,"*An increase in decibel rating by 30 corresponds to a increase in intensity by a factor of 1000:
/Beta_2 - /Beta_1 = 30 = 10log(I_2/I_o) - 10log(I_1/I_o)
3 = log(I_2/I_o) - log(I_1/I_o) 
3 = log(I_2) - log(I_o) - log(I_1) + log(I_o)
3 = log(I_2) - log(I_1)
3 = log(I_2/I_1)
(I_2/I_1) = 10^3 = 1000","*Using the equation and values given:
/Beta_2 - /Beta_1 = 30 decibels = 10log(I_2/I_o) - 10log(I_1/I_o)
3 = log(I_2/I_o) - log(I_1/I_o) 
3 = log(I_2) - log(I_o) - log(I_1) + log(I_o)
3 = log(I_2) - log(I_1)
3 = log(I_2/I_1)
(I_2/I_1) = 10^3 = 1000"
Phys,4A: Periodic Motion,"Named in honor of Alexander Graham Bell, the decibel scale is commonly used to quantify the intensity of sound waves. The scale compares a measured value of sound intensity to a reference value using the following equation: 
/Beta = 10log(I/I_o). 
The intensity I is the measured intensity and the reference intensity I_o is equal to 10^{-12} W/m^2. If a speaker's decibel rating is decreased from 100 to 60 decibels, the intensity of the sound decreases by a factor of:",4,40,10000,1000000,C,"*An decrease in decibel rating by 40 corresponds to a increase in intensity by a factor of 10000:
/Beta_2 - /Beta_1 = -40 decibels = 10log(I_2/I_o) - 10log(I_1/I_o)
-4 = log(I_2/I_o) - log(I_1/I_o) 
-4 = log(I_2) - log(I_o) - log(I_1) + log(I_o)
-4 = log(I_2) - log(I_1)
-4 = log(I_2/I_1)
(I_2/I_1) = 10^-4 = 1/10000 (a decrease by a factor of 10000)","*Using the equation and values given:
/Beta_2 - /Beta_1 = -40 decibels = 10log(I_2/I_o) - 10log(I_1/I_o)
-4 = log(I_2/I_o) - log(I_1/I_o) 
-4 = log(I_2) - log(I_o) - log(I_1) + log(I_o)
-4 = log(I_2) - log(I_1)
-4 = log(I_2/I_1)
(I_2/I_1) = 10^-4 = 1/10000 (a decrease by a factor of 10000)"
Phys,4A: Force,A skydiver with mass 65.0 kg achieves a terminal velocity of 20 m/s over the course of her fall. What is the magnitude of the force of air resistance when terminal velocity has been reached? (Assume the acceleration due to gravity is equal to 10 m/s^2.),65 N,200 N,650 N,4000 N,C,"*Terminal velocity is highest velocity an object achieves over the course of free fall. 
*Since the velocity is constant, the net acceleration must be equal to zero, which means the net force is equal to zero:
F_{net} = ma = 0 = F_{air} - F_g
where F_{air} is the force of air resistance and F_g is the frorce of gravity. 
*Substituting, we see:
0 = F_{air} - F_g = F_{air} - mg
F_{air} = mg = 65(10) = 650 N
*When terminal velocity is achieve, F_{air} must equal 650 N.","*Terminal velocity is achieved when the net acceleration is equal to zero:
F_{net} = ma = 0 = F_{air} - F_g
where F_{air} is the force of air resistance and F_g is the frorce of gravity. 
*Substituting, we see:
0 = F_{air} - F_g = F_{air} - mg
F_{air} = mg = 65(10) = 650 N"
Phys,4A: Force,"For a certain skydiver, it is found that the force of air resistance at her terminal velocity of 25 m/s is equal to 540 N. What is her mass? (Assume the acceleration due to gravity is equal to 10 m/s^2.)",25 kg,54 kg,135 kg,540 kg,B,"*Terminal velocity is highest velocity an object achieves over the course of free fall. 
*Since the velocity is constant, the net acceleration must be equal to zero, which means the net force is equal to zero:
F_{net} = ma = 0 = F_{air} - F_g
where F_{air} is the force of air resistance and F_g is the frorce of gravity. 
*Substituting, we see:
0 = F_{air} - F_g = F_{air} - mg
F_{air} = 540 N = F_g = mg = m(10)
m = 54 kg
Her mass must equal 54 kg.","*Terminal velocity is achieved when the net acceleration is equal to zero:
F_{net} = ma = 0 = F_{air} - F_g
where F_{air} is the force of air resistance and F_g is the frorce of gravity. 
*Substituting, we see:
0 = F_{air} - F_g = F_{air} - mg
F_{air} = 540 N = F_g = mg = m(10)
m = 54 kg"
Phys,4A: Force,"Terminal velocity is possible because the force of air resistance (drag) does not remain constant over time. Upon which of the following does the force of air resistance depend?
   I. The force of gravity
   II. The speed of the falling object
   III. The cross sectional area of the object
   IV. The density of the surrounding air",I only.,III and IV only.,"II, III, and IV only.","I, II, III, and IV.",C,"*The drag force (the force of air resistace) is dependent upon the object's velocity and cross sectional area as well as the density of the surrounding air. 
*It arises as a result of the falling object's interaction with the fluid that surrounds it. 
*Because the drag force is dependent on velocity, it increases until a maximum (i.e. the terminal) velocity is reached. 
*This occurs when the drag force balances the force of gravity.",*The drag force is dependent on the object's cross sectional area and velocity as well as the density of the surrounding fluid.
Phys,4E: Atomic Nucleus,The type of nuclear decay that results in the emission of a helium (^4_2He) nucleus is known as:,/alpha-decay,/Beta^+-decay,/Beta^--decay,/gamma-decay,A,"*The nuclear decay that results in the emission of a helium nucleus is known as /alpha-decay. 
*In equation form, it is often shown as:
^m_zX --> ^4_2He + ^{m-4}_{z-2}Y
*Notice that the atomic numbers and mass numbers are balanced across the equation.","*The emission of a helium nucleus is known as /alpha-decay:
^m_zX --> ^4_2He + ^{m-4}_{z-2}Y"
Phys,4E: Atomic Nucleus,The type of nuclear decay that results in the emission of a positron (^0_1e) is known as:,/alpha-decay,/Beta^+-decay,/Beta^--decay,Electron capture,B,"*The nuclear decay that results in the emission of a positron is known as /Beta^+-decay. 
*It occurs when a proton decays into the emitted positron and a neutron.
*In equation form, it is often shown as:
^m_zX --> ^0_1e + ^m_{z-1}Y
*Notice that the atomic numbers and mass numbers are balanced across the equation.","*The emission of a positron is known as /Beta^+-decay. 
^m_zX --> ^0_1e + ^m_{z-1}Y"
Phys,4E: Atomic Nucleus,The type of nuclear decay that results in the emission of an electron (^0_{-1}e) is known as:,/alpha-decay,/Beta^+-decay,/Beta^--decay,Electron capture,C,"*The nuclear decay that results in the emission of an electron is known as /Beta^--decay.   
*It occurs when a neutron decays into a proton and the emitted electron.   
*In equation form, it is often shown as:  
^m_zX --> ^0_{-1}e + ^m_{z+1}Y  
*Notice that the atomic numbers and mass numbers are balanced across the equation.  ","*The emission of an electron is known as /Beta^--decay.   
^m_zX --> ^0_{-1}e + ^m_{z+1}Y  "
Phys,4E: Atomic Nucleus,The type of nuclear decay that results in the emission of a high energy photon (but no charged particle) is known as:,/alpha-decay,/Beta^+-decay,/Beta^--decay,/gamma-decay,D,"*The nuclear decay that results in the emission of a high energy photon (a /gamma-ray) is known as /gamma-decay. 
*It results when a ""metastable"" nucleus (higher mass than the stable nucleus) converts its extra mass to energy (remember Einstein E = mc^2?). 
*In equation form, it is often shown as:
^m_zX^* --> ^0_0/gamma + ^m_zX^
*Notice that the atomic numbers and mass numbers are balanced across the equation.","*The emission of a /gamma ray (a high energy photon) is known as /gamma-decay:
^m_zX^* --> ^0_0/gamma + ^m_zX^"
Phys,4E: Atomic Nucleus,"The nuclear decay in which an electron collides with a nuclear proton, resulting in the emission of a photon, is known as:",/alpha-decay,/Beta^+-decay,/Beta^--decay,Electron capture,D,"*The nuclear decay in which an electron collides with a nuclear proton, resulting in the emission of a photon, is known as electron capture. 
*This usually occurs when an electron in a 1s orbital gets too close to the nucleus. It collides with a proton, neutralizing it, resulting in the release of energy in the form of a photon (denoted as hv):
^m_zX + ^0_{-1}e --> ^m_{z-1}Y + hv
*Notice that the atomic numbers and mass numbers are balanced across the equation.","*The neutralization of a nuclear proton by an incoming electron that results in the emission of a photon is known as electron capture:
^m_zX + ^0_{-1}e --> ^m_{z-1}Y + hv"
Phys,4E: Atomic Nucleus,It has been found that nuclei have less mass than the sum of the protons neutrons that compose them. This mass defect is converted into:,the nuclear binding energy.,the orbiting electrons.,electrostatic charges.,gravitational forces.,A,"*This mass defect is converted into the nuclear binding energy, which keeps the protons and neutrons in the nucleus together. 
*This binding energy provides the energy necessary to overcome the electrostatic repulsive forces from the protons.","*The mass defect provides the nuclear binding energy (E = mc^2).
*It is necessary to overcome the electrostatic repulsive forces between protons."
Phys,4E: Atomic Nucleus,It is found that a helium nucleus has a mass defect of 5.0*10^{-29} kg. What is the nuclear binding energy? (The speed of light in a vacuum is 3.0*10^8 m/s.),5.0*10^{-29} J,1.5*10^{-20} J,9*10^{-16} J,4.5*10^{-12} J,D,"*The mass defect is converted into energy, which becomes the nuclear binding energy. 
*The energy can be converted from the mass defect using Einstein's famous equation:
E = mc^2 = (5.0*10^{-29})(3.0*10^8)^2 
E = 45*10^{-13} J
E = 4.5*10^{-12} J","*The mass defect is converted into the nuclear binding energy:
E = mc^2 = (5.0*10^{-29})(3.0*10^8)^2 
E = 4.5*10^{-12} J"
Phys,4E: Atomic Nucleus,It is found that a certain nucleus has a nuclear binding energy of 8.1*10^{-12} J. What is the mass defect for this nucleus? (The speed of light in a vacuum is 3.0*10^8 m/s.),2.7*10^{-20} kg,9.0*10^{-29} kg,2.43*10^{-3} kg,8.1*10^{-12} kg,B,"*The mass defect is converted into energy, which becomes the nuclear binding energy. 
*The energy can be converted from the mass defect using Einstein's famous equation:
E = mc^2 
m = E/c^2 = (8.1*10^{-12})/(3.0*10^9)^2
m = 9.0*10^{-29} kg","*The mass defect is converted into the nuclear binding energy:
E = mc^2 
m = E/c^2 = (8.1*10^{-12})/(3.0*10^9)^2
m = 9.0*10^{-29} kg"
Phys,4E: Atomic Nucleus,"In early radiology, radium was of great interest to physicians for its therapeutic properties. The heavy radium (^{226}_{88}Ra) emits an /alpha particle and decays into: ",^{222}_{84}Ra,^{226}_{89}Ac,^{226}_{87}Fr,^{222}_{86}Rn,D,"*^{226}_{88}Ra decays into ^{222}_{86}Rn through the emission of an /alpha particle, which is a helium nucleus. 
*Determining the identity of the decay product is made easier by setting up and balancing a chemical equation:
^{226}_{88}Ra --> ^4_2He + ^{222}_{86}Rn","*^{226}_{88}Ra alpha decays into ^{222}_{86}Rn:
^{226}_{88}Ra --> ^4_2He + ^{222}_{86}Rn"
Phys,4E: Atomic Nucleus,"Radon exposure is a major cause of lung cancer, especially among non smokers. Radioactive radon (^{212}_{86}Rn) undergoes alpha decay, emitting an /alpha particle, and becomes:",^{212}_{87}Fr,^{208}_{84}Rn,^{212}_{85}At,^{208}_{84}Po,D,"*^{212}_{86}Rn decays into ^{208}_{84}Po through the emission of an /alpha particle, which is a helium nucleus. 
*Determining the identity of the decay product is made easier by setting up and balancing a chemical equation:
^{212}_{86}Rn --> ^4_2He + ^{208}_{84}Po","*^{212}_{86}Rn alpha decays into ^{208}_{84}Po:
^{212}_{86}Rn --> ^4_2He + ^{208}_{84}Po"
Phys,4E: Atomic Nucleus,"Depleted uranium contains a large amount of the most abundant, naturally occurring uranium isotope, uranium-238. Uranium-238 undergoes /alpha decay and becomes:",^{234}_{90}Th,^{234}_{90}U,^{238}_{91}Pa,^{238}_{93}Np,A,"*^{238}_{92}U decays into ^{234}_{90}Th through the emission of an /alpha particle, which is a helium nucleus. 
*Determining the identity of the decay product is made easier by setting up and balancing a chemical equation:
^{238}_{92}U --> ^4_2He + ^{234}_{90}Th","*^{238}_{92}U alpha decays into ^{234}_{90}Th:
^{238}_{92}U --> ^4_2He + ^{234}_{90}Th"
Phys,4E: Atomic Nucleus,"Potassium-40 can undergo /Beta^+ decay, emitting a positron and becoming:",^{40}_{18}K,^{40}_{18}Ar,^{40}_{20}Ca,^{36}_{17}Cl,B,"*^{40}_{19}K decays into ^{40}_{18}Ar through the emission of a /Beta^+ particle (basically a positive charge with the mass of an electron). 
*Determining the identity of the decay product is made easier by setting up and balancing a chemical equation:
^{40}_{19}K --> ^{40}_{18}Ar + ^0_1e","*^{40}_{19}K /Beta^+ decays into ^{40}_{18}Ar:
^{40}_{19}K --> ^{40}_{18}Ar + ^0_1e"
Phys,4E: Atomic Nucleus,"A common biological element, magnesium-23 can undergo /Beta^+ decay, emitting a positron and becoming:",neon-19,magnesium-23,sodium-23,aluminium-23,C,"*^{23}_{12}Mg decays into ^{23}_{11}Na through the emission of a /Beta^+ particle (basically a positive charge with the mass of an electron). 
*Determining the identity of the decay product is made easier by setting up and balancing a chemical equation:
^{23}_{12}Mg --> ^{23}_{11}Na + ^0_1e","*^{23}_{12}Mg /Beta^+ decays into ^{23}_{11}Na:
^{23}_{12}Mg --> ^{23}_{11}Na + ^0_1e"
Phys,4E: Atomic Nucleus,"An unstable and uncommon isotope of carbon, carbon-11, undergoes /Beta^+ decay and becomes:",^{11}_{5}C,^{11}_{5}B,^{11}_{7}N,^{9}_{4}Be,B,"*^{11}_{6}C decays into ^{11}_{5}B through the emission of a /Beta^+ particle (basically a positive charge with the mass of an electron). 
*Determining the identity of the decay product is made easier by setting up and balancing a chemical equation:
^{11}_{6}C --> ^{11}_{5}B + ^0_1e","*^{11}_{6}C /Beta^+ decays into ^{11}_{5}B:
^{11}_{6}C --> ^{11}_{5}B + ^0_1e"
Phys,4E: Atomic Nucleus,"/Beta^- decay is also known as electron emission. Cobalt-60 undergoes /Beta^- decay, emitting an electron and becoming:",^{60}_{28}Co,^{60}_{28}Ni,^{60}_{26}Fe,^{56}_{25}Mn,B,"*^{60}_{27}Co decays into ^{60}_{28}Ni through the emission of a /Beta^- particle (nothing more than an electron). 
*Determining the identity of the decay product is made easier by setting up and balancing a chemical equation:
^{60}_{27}Co --> ^{60}_{28}Ni + ^0_{-1}e","*^{60}_{27}Co /Beta^- decays into ^{60}_{28}Ni:
^{60}_{27}Co --> ^{60}_{28}Ni + ^0_{-1}e"
Phys,4E: Atomic Nucleus,"Like many neutron rich nuclei, carbon-14 undergoes /Beta^- decay. The result of this decay is an electron and:",^{10}_{4}Be,^{14}_{5}B,^{14}_{7}C,^{14}_{7}N,D,"*^{14}_{6}C decays into ^{14}_{7}N through the emission of a /Beta^- particle (nothing more than an electron). 
*Determining the identity of the decay product is made easier by setting up and balancing a chemical equation:
^{14}_{6}C --> ^{14}_{7}N + ^0_{-1}e","*^{14}_{6}C /Beta^- decays into ^{14}_{7}N:
^{14}_{6}C --> ^{14}_{7}N + ^0_{-1}e"
Phys,4E: Atomic Nucleus,"The neutron rich potassium-40 undergoes /Beta^- decay, emitting an electron and becoming:",^{40}_{19}K,^{36}_{17}Cl,^{40}_{20}Ca,^{40}_{20}K,C,"*^{40}_{19}K decays into ^{40}_{20}Ca through the emission of a /Beta^- particle (nothing more than an electron). 
*Determining the identity of the decay product is made easier by setting up and balancing a chemical equation:
^{40}_{19}K --> ^{40}_{20}Ca + ^0_{-1}e","*^{40}_{19}K /Beta^- decays into ^{40}_{20}Ca:
^{40}_{19}K --> ^{40}_{20}Ca + ^0_{-1}e"
Phys,4E: Atomic Nucleus,"In a similar process to that of electron emission, electron capture involves collision of an electron with a neutron rich nucleus. For example, nickel-59 absorbs an electron and becomes:",^{59}_{27}Ni,^{59}_{27}Co,^{59}_{29}Cu,^{55}_{26}Fe,B,"*When ^{59}_{28}Ni captures an electron, it becomes ^{59}_{27}Co. 
*This electron fuses with a proton and neutralizes it, causing it to be come a neutron. 
*Determining to identity of the product of this reaction is made easier by setting up and balancing a chemical equation:
^{59}_{28}Ni + ^0_{-1}e --> ^{59}_{27}Co","*^{59}_{28}Ni captures an electron and becomes ^{59}_{27}Co:
^{59}_{28}Ni + ^0_{-1}e --> ^{59}_{27}Co
*The electron neutralizes a proton, decreasing the atom's atomic number."
Phys,4E: Atomic Nucleus,"The reactive potassium-40 nucleus can undergo several types of decays and nuclear reactions. One such reaction, electron capture, involves the fusion of an electron with an atomic proton. When potassium-40 undergoes this process, the result is:",^{40}_{18}K,^{40}_{18}Ar,^{40}_{20}Ca,^{36}_{17}Cl,B,"*When ^{40}_{19}K captures an electron, it becomes ^{40}_{18}Ar. 
*This electron fuses with a proton and neutralizes it, causing it to be come a neutron. 
*Determining to identity of the product of this reaction is made easier by setting up and balancing a chemical equation:
^{40}_{19}K + ^0_{-1}e --> ^{40}_{18}Ar","*^{40}_{19}K captures an electron and becomes ^{40}_{18}Ar:
^{40}_{19}K + ^0_{-1}e --> ^{40}_{18}Ar
*The electron neutralizes a proton, decreasing the atom's atomic number."
